title,subtitle,author,narrator,series,length,release_date,language,ratings
The Path of Ascension 2,Not Found,By: C. Mantis,Narrated by: J.S. Arquin,"Series: The Path of Ascension, Book 2",Length: 11 hrs and 25 mins,Release date: 02-14-23,Language: English,4.5 out of 5 stars
Saffron Wilds,"San Amaro Investigations, Book 6",By: Kai Butler,Narrated by: Greg Tremblay,"Series: San Amaro Investigations, Book 6",Length: 11 hrs and 25 mins,Release date: 02-14-23,Language: English,4.5 out of 5 stars
Shadow's Seventh Step,"A Fantasy LitRPG Adventure (Divine Apostasy, Book 7)",By: A. F. Kay,Narrated by: Travis Baldree,"Series: Divine Apostasy, Book 7",Length: 11 hrs and 25 mins,Release date: 02-14-23,Language: English,4.5 out of 5 stars
Battle Miner,Not Found,By: Kirk Mason,Narrated by: Melanie Hastings,Not Found,Length: 11 hrs and 25 mins,Release date: 02-14-23,Language: English,4.5 out of 5 stars
Until You,"The Redemption Series, Book 1",By: K. Bromberg,"Narrated by: Blake Lockheart, Samantha Brentmoor","Series: The Redemption Series, Book 1",Length: 11 hrs and 25 mins,Release date: 02-14-23,Language: English,4.5 out of 5 stars
The White Pill,A Tale of Good and Evil,By: Michael Malice,Narrated by: Michael Malice,Not Found,Length: 11 hrs and 25 mins,Release date: 02-14-23,Language: English,4.5 out of 5 stars
My So-Called Sex Life,Not Found,By: Lauren Blakely,"Narrated by: Vanessa Edwin, Sebastian York",Not Found,Length: 11 hrs and 25 mins,Release date: 02-14-23,Language: English,4.5 out of 5 stars
The Secret Life of Sunflowers,Not Found,"By: Marta Molnar, Dana Marton",Narrated by: Kendra Murray,Not Found,Length: 11 hrs and 25 mins,Release date: 02-14-23,Language: English,4.5 out of 5 stars
The Numbers,The Thomas Prescott Series,By: Nick Pirog,Narrated by: Johnny Heller,"Series: Thomas Prescott Series, Book 6",Length: 11 hrs and 25 mins,Release date: 02-14-23,Language: English,4.5 out of 5 stars
Poison Roses,"Boys of Bellerose, Book 1","By: Tate James, Jaymin Eve","Narrated by: Brooke Daniels, Lucas Webley","Series: Boys of Bellerose, Book 1",Length: 11 hrs and 25 mins,Release date: 02-14-23,Language: English,4.5 out of 5 stars
The Medici Manuscript,"The Glass Library, Book 2",By: C.J. Archer,Narrated by: Marian Hussey,"Series: The Glass Library, Book 2",Length: 11 hrs and 25 mins,Release date: 02-14-23,Language: English,4.5 out of 5 stars
Only the Dead,"A Thriller (Terminal List, Book 6)",By: Jack Carr,Not Found,"Series: Terminal List Book Series, Book 6",Length: 11 hrs and 25 mins,Release date: 02-14-23,Language: English,4.5 out of 5 stars
Their Resting Place,Not Found,By: B.R. Spangler,Narrated by: Patricia Rodriguez,Not Found,Length: 11 hrs and 25 mins,Release date: 02-14-23,Language: English,4.5 out of 5 stars
Cannon,A Pittsburgh Titans Novel,By: Sawyer Bennett,"Narrated by: Stephen Dexter, Mackenzie Cartwright","Series: Pittsburgh Titans, Book 6",Length: 11 hrs and 25 mins,Release date: 02-14-23,Language: English,4.5 out of 5 stars
Lunatic,"Necessary Evils, Book 6",By: Onley James,Narrated by: Liam DiCosimo,"Series: The Necessary Evils, Book 6",Length: 11 hrs and 25 mins,Release date: 02-14-23,Language: English,4.5 out of 5 stars
The Sceptic,Not Found,By: Lily Morton,Narrated by: Joel Leslie,Not Found,Length: 11 hrs and 18 mins,Release date: 02-15-23,Language: English,5 out of 5 stars
Prince of Lies,Not Found,By: Lucy Lennox,Narrated by: Michael Dean,Not Found,Length: 11 hrs and 18 mins,Release date: 02-15-23,Language: English,5 out of 5 stars
Reclusive Mage,"Paranoid Mage, Book 4",By: Inadvisably Compelled,Narrated by: Jeremy Frazier,"Series: Paranoid Mage, Book 4",Length: 11 hrs and 18 mins,Release date: 02-15-23,Language: English,5 out of 5 stars
The Housemaid's Secret,Not Found,By: Freida McFadden,Narrated by: Lauryn Allman,"Series: Housemaid, Book 2",Length: 11 hrs and 18 mins,Release date: 02-15-23,Language: English,5 out of 5 stars
Don't Let Me Break,Not Found,By: Kelsie Rae,"Narrated by: Maeven Celeste, Troy Duran","Series: Don't Let Me, Book 3",Length: 11 hrs and 18 mins,Release date: 02-15-23,Language: English,5 out of 5 stars
Optimize Your Health with Therapeutic Peptides,"Extend Your Life by Becoming More Muscular, Leaner, Smarter, Injury-Free, and Younger",By: Jay Campbell,Narrated by: Jay Campbell,Not Found,Length: 11 hrs and 18 mins,Release date: 02-15-23,Language: English,5 out of 5 stars
The Levee,Not Found,By: William Kent Krueger,"Narrated by: JD Jackson, William Kent Krueger",Not Found,Length: 11 hrs and 18 mins,Release date: 02-15-23,Language: English,5 out of 5 stars
I Will Find You,Not Found,By: Harlan Coben,Narrated by: Steven Weber,Not Found,Length: 11 hrs and 18 mins,Release date: 02-15-23,Language: English,5 out of 5 stars
How Far Do You Want to Go?,Lessons from a Common-Sense Billionaire,By: John Catsimatidis,Narrated by: Barry Abrams,Not Found,Length: 11 hrs and 18 mins,Release date: 02-15-23,Language: English,5 out of 5 stars
Resurrection Walk,Not Found,By: Michael Connelly,Not Found,Not Found,Length: 11 hrs and 18 mins,Release date: 02-15-23,Language: English,5 out of 5 stars
Annoyed at First Sight,"Gator Bait MC, Book 4",By: Lani Lynn Vale,"Narrated by: Grayson Owens, Marina Barrett","Series: Gator Bait MC, Book 4",Length: 11 hrs and 18 mins,Release date: 02-15-23,Language: English,5 out of 5 stars
Twisted Secrets,"Bastards of Boulder Cove, Book 3",By: Rachel Leigh,"Narrated by: Stefanie Kay, Theo Sinclair","Series: Bastards of Boulder Cove Series, Book 3",Length: 11 hrs and 18 mins,Release date: 02-15-23,Language: English,5 out of 5 stars
The Cursed Among Us,Not Found,By: John Durgin,Narrated by: Joe Hempel,Not Found,Length: 11 hrs and 18 mins,Release date: 02-15-23,Language: English,5 out of 5 stars
The End and the Death: Volume 1,"The Horus Heresy: Seige of Terra, Book 8",By: Dan Abnett,Narrated by: Jonathan Keeble,"Series: Siege of Terra: The Horus Heresy, Book 8",Length: 11 hrs and 18 mins,Release date: 02-15-23,Language: English,5 out of 5 stars
Confrontations,"A Scientist's Search for Alien Contact (Alien Contact Trilogy, Book 2)",By: Jacques Vallee,Narrated by: Michael Hacker,"Series: Alien Contact Trilogy, Book 2",Length: 11 hrs and 18 mins,Release date: 02-15-23,Language: English,5 out of 5 stars
Change Your Brain Every Day,"Simple Daily Practices to Strengthen Your Mind, Memory, Moods, Focus, Energy, Habits, and Relationships",By: Daniel Amen,Narrated by: Jim Frangione,Not Found,Length: 11 hrs and 18 mins,Release date: 02-15-23,Language: English,5 out of 5 stars
The Parenting Map,Step-by-Step Solutions to Consciously Create the Ultimate Parent-Child Relationship,By: Shefali Tsabary,Narrated by: Shefali Tsabary,Not Found,Length: 11 hrs and 18 mins,Release date: 02-15-23,Language: English,5 out of 5 stars
The Obstacle Is the Way,The Timeless Art of Turning Trials into Triumph,By: Ryan Holiday,Narrated by: Ryan Holiday,Not Found,Length: 11 hrs and 18 mins,Release date: 02-15-23,Language: English,5 out of 5 stars
Foul Play,Bunburry - A Cosy Mystery Series 15,By: Helena Marchmont,Narrated by: Nathaniel Parker,"Series: Bunburry - A Cosy Mystery Series, Book 15",Length: 11 hrs and 18 mins,Release date: 02-15-23,Language: English,5 out of 5 stars
Whiskey Lies,"Boston Billionaires, Book 1",By: Brittanee Nicole,"Narrated by: Joe Arden, Lucy Rivers","Series: Boston Billionaires Series, Book 1",Length: 11 hrs and 18 mins,Release date: 02-15-23,Language: English,5 out of 5 stars
A Score to Settle,Cherringham. A Cosy Crime Series - Mystery Shorts 43,"By: Matthew Costello, Neil Richards",Narrated by: Neil Dudgeon,"Series: Cherringham. A Cosy Crime Series - Mystery Shorts, Book 43",Length: 3 hrs and 18 mins,Release date: 03-03-23,Language: English,5 out of 5 stars
Fateless: Book One,Not Found,By: Martin McKenzie,Narrated by: Neil Hellegers,"Series: Fateless, Book 1",Length: 3 hrs and 18 mins,Release date: 03-03-23,Language: English,5 out of 5 stars
Roots,The Saga of an American Family,By: Alex Haley,Narrated by: Prentice Onayemi,Not Found,Length: 3 hrs and 18 mins,Release date: 03-03-23,Language: English,5 out of 5 stars
The Red Pyramid,"The Kane Chronicles, Book 1",By: Rick Riordan,"Narrated by: Grace Capeless, James Fouhey","Series: Kane Chronicles, Book 1",Length: 3 hrs and 18 mins,Release date: 03-03-23,Language: English,5 out of 5 stars
Beg for It,Not Found,By: Alexis Winter,"Narrated by: Patrick Zeller, Rose Dioro",Not Found,Length: 3 hrs and 18 mins,Release date: 03-03-23,Language: English,5 out of 5 stars
The Secrets You Keep,Not Found,By: Tracy Lorraine,"Narrated by: Stella Hunter, J.F. Harding, Jason Clarke",Series: Blurred Lines,Length: 3 hrs and 18 mins,Release date: 03-03-23,Language: English,5 out of 5 stars
Enchantment,Awakening Wonder in an Anxious Age,By: Katherine May,Narrated by: Rebecca Lee,Not Found,Length: 3 hrs and 18 mins,Release date: 03-03-23,Language: English,5 out of 5 stars
Bastard,"Last Life Series, Book 1","By: Alexey Osadchuk, Andrew Douglas Schmitt - translator",Narrated by: Ryan Burke,"Series: Last Life, Book 1",Length: 3 hrs and 18 mins,Release date: 03-03-23,Language: English,5 out of 5 stars
Code Red,"A Mitch Rapp Novel by Kyle Mills (A Mitch Rapp Novel, Book 22)","By: Vince Flynn, Kyle Mills",Not Found,"Series: Mitch Rapp, Book 22",Length: 3 hrs and 18 mins,Release date: 03-03-23,Language: English,5 out of 5 stars
Deracine Sun,"Slip Runner, Book 5","By: J.N. Chaney, M.F. Lerma",Narrated by: Neill Thorne,"Series: Slip Runner, Book 5",Length: 3 hrs and 18 mins,Release date: 03-03-23,Language: English,5 out of 5 stars
Because I'm Yours,Sins & Deceit,By: Claire Contreras,"Narrated by: Robert Hatchet, Samantha Brentmoor",Not Found,Length: 3 hrs and 18 mins,Release date: 03-03-23,Language: English,5 out of 5 stars
Family Gatherings at Promise Lodge,"Promise Lodge Series, Book 6",By: Charlotte Hubbard,Narrated by: Susan Boyce,"Series: Promise Lodge, Book 6",Length: 3 hrs and 18 mins,Release date: 03-03-23,Language: English,5 out of 5 stars
How to Save the West,Ancient Wisdom for 5 Modern Crises,By: Spencer Klavan,Narrated by: Spencer Klavan,Not Found,Length: 3 hrs and 18 mins,Release date: 03-03-23,Language: English,5 out of 5 stars
Can't Say Goodbye,Not Found,By: Eden Finley,Narrated by: Tim Paige,Not Found,Length: 3 hrs and 18 mins,Release date: 03-03-23,Language: English,5 out of 5 stars
Skinwalkers at the Pentagon,An Insider's Account of the Secret Government UFO Program,"By: James T. Lacatski DEng, Colm A. Kelleher PhD, George Knapp, various",Narrated by: Byron Wagner,Not Found,Length: 3 hrs and 18 mins,Release date: 03-03-23,Language: English,5 out of 5 stars
Rise of the Fourth Reich,"Confronting COVID Fascism with a New Nuremberg Trial, So This Never Happens Again","By: Steve Deace, Daniel Horowitz","Narrated by: Daniel Horowitz, Richard Cefalos, Zachary Cameron, Torii Alaniz",Not Found,Length: 3 hrs and 18 mins,Release date: 03-03-23,Language: English,5 out of 5 stars
A Day of Fallen Night,Not Found,By: Samantha Shannon,"Narrated by: Ellie Kendrick, Sheila Atim, Thoren Ferguson, Hanako Footman, Samantha Shannon, Saara El-Arifi","Series: Roots of Chaos, Book 0.5",Length: 3 hrs and 18 mins,Release date: 03-03-23,Language: English,5 out of 5 stars
Blood Lovers,Not Found,By: JA Huss,"Narrated by: Ava Erickson, CJ Mission, Finn Cassidy",Not Found,Length: 3 hrs and 18 mins,Release date: 03-03-23,Language: English,5 out of 5 stars
Unbroken Bonds,"The Bonds that Tie, Book 6",By: J Bree,"Narrated by: Kasi Hollowell, Wen Ross","Series: The Bonds That Tie, Book 6",Length: 3 hrs and 18 mins,Release date: 03-03-23,Language: English,5 out of 5 stars
Unleashed,"Omega Force, Book 14",By: Joshua Dalzelle,Narrated by: Paul Heitsch,"Series: Omega Force, Book 14",Length: 3 hrs and 18 mins,Release date: 03-03-23,Language: English,5 out of 5 stars
Back to Center,"Mohegan U Hockey, Book 2","By: Ryan Taylor, Joshua Harwood",Narrated by: Alexander Cendese,"Series: Mohegan U Hockey Series, Book 2",Length: 6 hrs and 2 mins,Release date: 02-07-23,Language: English,5 out of 5 stars
Opening Closed-Guard,The Origins of Jiujitsu in Brazil: The Story Behind the Film,By: Robert Drysdale,Narrated by: David Morden,Not Found,Length: 6 hrs and 2 mins,Release date: 02-07-23,Language: English,5 out of 5 stars
Fraser,"The Minnesota Marshalls, Book 1",By: Susan May Warren,Narrated by: Adam Gold,"Series: Minnesota Marshalls, Book 1",Length: 6 hrs and 2 mins,Release date: 02-07-23,Language: English,5 out of 5 stars
Mark of the Fool 3,Not Found,By: J.M. Clarke,Narrated by: Travis Baldree,"Series: Mark of the Fool, Book 3",Length: 6 hrs and 2 mins,Release date: 02-07-23,Language: English,5 out of 5 stars
Valkyrie,"Guardian Security Shadow World, Book 9",By: Kris Michaels,Narrated by: Matt Haynes,"Series: Guardian Security Shadow World, Book 9",Length: 6 hrs and 2 mins,Release date: 02-07-23,Language: English,5 out of 5 stars
Throttled,"Dirty Air, Book 1",By: Lauren Asher,"Narrated by: Ramona Master, Aiden Snow","Series: Dirty Air, Book 1",Length: 6 hrs and 2 mins,Release date: 02-07-23,Language: English,5 out of 5 stars
Esrahaddon,"The Rise and Fall, Book 3",By: Michael J. Sullivan,Not Found,"Series: The Rise and Fall, Book 3",Length: 6 hrs and 2 mins,Release date: 02-07-23,Language: English,5 out of 5 stars
They're Lying,"The Media, the Left, and the Death of George Floyd",By: Liz Collin,Narrated by: Liz Collin,Not Found,Length: 6 hrs and 2 mins,Release date: 02-07-23,Language: English,5 out of 5 stars
Stepping Stone,"The Stone Series: A Billionaire Romance, Book 2",By: Dakota Willink,"Narrated by: Jeffrey Kafer, Lacy Laurel","Series: The Stone Series, Book 2",Length: 6 hrs and 2 mins,Release date: 02-07-23,Language: English,5 out of 5 stars
Tower of the Noobs,"Noobtown, Book 7",By: Ryan Rimmel,Narrated by: Johnathan McClain,"Series: Noobtown, Book 7",Length: 6 hrs and 2 mins,Release date: 02-07-23,Language: English,5 out of 5 stars
The Vow,"Club Indulgence Duet, Book 2",By: Maggie Cole,"Narrated by: Connor Crais, Ava Lucas","Series: Club Indulgence Duet, Book 2",Length: 6 hrs and 2 mins,Release date: 02-07-23,Language: English,5 out of 5 stars
Set in Stone,"The Stone Series: A Billionaire Romance, Book 3",By: Dakota Willink,"Narrated by: Jeffrey Kafer, Lacy Laurel","Series: The Stone Series, Book 3",Length: 6 hrs and 2 mins,Release date: 02-07-23,Language: English,5 out of 5 stars
A Match in the Making,"The Matchmakers, Book 1",By: Jen Turano,Narrated by: Sarah Zimmerman,"Series: The Matchmakers, Book 1",Length: 6 hrs and 2 mins,Release date: 02-07-23,Language: English,5 out of 5 stars
The Joshua Generation,A 40-Day Journey into Your Promised Land,"By: Brian Simmons, Candice Simmons",Narrated by: Brian Simmons,Not Found,Length: 6 hrs and 2 mins,Release date: 02-07-23,Language: English,5 out of 5 stars
The Mistress Next Door,Not Found,By: Lesley Sanderson,Narrated by: Eilidh Beaton,Not Found,Length: 6 hrs and 2 mins,Release date: 02-07-23,Language: English,5 out of 5 stars
Lucky in Lace,Not Found,By: Melissa Brayden,Narrated by: Lula Larkin,Not Found,Length: 6 hrs and 2 mins,Release date: 02-07-23,Language: English,5 out of 5 stars
Nuclear War Survival,A One Hour Crash Course,"By: David Kobler, JD Dutra",Narrated by: Graham Mack,Not Found,Length: 6 hrs and 2 mins,Release date: 02-07-23,Language: English,5 out of 5 stars
Objective Secure,The Battle-Tested Guide to Goal Achievement,By: Nick Lavery,"Narrated by: Nick Lavery, Eric Elam",Not Found,Length: 6 hrs and 2 mins,Release date: 02-07-23,Language: English,5 out of 5 stars
A Long Time Coming,Not Found,By: Meghan Quinn,"Narrated by: Erin Mallon, J.F. Harding",Not Found,Length: 6 hrs and 2 mins,Release date: 02-07-23,Language: English,5 out of 5 stars
Evangelical Pharisees,The Gospel as Cure for the Church's Hypocrisy,By: Michael Reeves,Narrated by: Michael Reeves,Not Found,Length: 6 hrs and 2 mins,Release date: 02-07-23,Language: English,5 out of 5 stars
A Long Time Coming,Not Found,By: Meghan Quinn,"Narrated by: Erin Mallon, J.F. Harding",Not Found,Length: 12 hrs and 22 mins,Release date: 01-10-23,Language: English,5 out of 5 stars
Murder Through the Mirror,"The Posie Parker Mystery Series, Book 14",By: L.B. Hathaway,Narrated by: Clare Wille,"Series: The Posie Parker Mystery Series, Book 14",Length: 12 hrs and 22 mins,Release date: 01-10-23,Language: English,5 out of 5 stars
Set in Stone,"The Stone Series: A Billionaire Romance, Book 3",By: Dakota Willink,"Narrated by: Jeffrey Kafer, Lacy Laurel","Series: The Stone Series, Book 3",Length: 12 hrs and 22 mins,Release date: 01-10-23,Language: English,5 out of 5 stars
Can't Say Goodbye,Not Found,By: Eden Finley,Narrated by: Tim Paige,Not Found,Length: 12 hrs and 22 mins,Release date: 01-10-23,Language: English,5 out of 5 stars
Smolder,"Anita Blake, Vampire Hunter, Book 29",By: Laurell K. Hamilton,Narrated by: Kimberly Alexis,"Series: Anita Blake, Vampire Hunter, Book 29",Length: 12 hrs and 22 mins,Release date: 01-10-23,Language: English,5 out of 5 stars
When a Moth Loved a Bee,"Destini Chronicles, Book 1",By: Pepper Winters,"Narrated by: Tor Thom, Fiona Clare",Not Found,Length: 12 hrs and 22 mins,Release date: 01-10-23,Language: English,5 out of 5 stars
Evangelical Pharisees,The Gospel as Cure for the Church's Hypocrisy,By: Michael Reeves,Narrated by: Michael Reeves,Not Found,Length: 12 hrs and 22 mins,Release date: 01-10-23,Language: English,5 out of 5 stars
Shadows of Light,"The Shadow Realms, Book 6",By: Brenda K. Davies,Narrated by: Meg Price,"Series: The Shadow Realms, Book 6",Length: 12 hrs and 22 mins,Release date: 01-10-23,Language: English,5 out of 5 stars
"FOUR x4 - Four Series, Books 5-8","FOUR Collection, Book 2",By: Stephanie Brother,Narrated by: Laurie West,"Series: Four, Book 5-8",Length: 12 hrs and 22 mins,Release date: 01-10-23,Language: English,5 out of 5 stars
Angron: The Red Angel,"Warhammer 40,000",By: David Guymer,Narrated by: Andrew Wincott,Series: Warhammer: Age of Sigmar,Length: 12 hrs and 22 mins,Release date: 01-10-23,Language: English,5 out of 5 stars
The Rose Girls,"Detective Katie Scott, Book 9",By: Jennifer Chase,Narrated by: Lisa Rost-Welling,"Series: Detective Katie Scott Series, Book 9",Length: 12 hrs and 22 mins,Release date: 01-10-23,Language: English,5 out of 5 stars
Putting an X Through Anxiety,Breaking Free from the Grip of Fear and Stress,By: Louie Giglio,Narrated by: Larry Nobles,Not Found,Length: 12 hrs and 22 mins,Release date: 01-10-23,Language: English,5 out of 5 stars
Why We Forget and How to Remember Better,The Science Behind Memory,"By: Andrew E. Budson MD, Elizabeth A. Kensinger PhD, Daniel L. Schacter PhD - foreword",Narrated by: Elise Arsenault,Not Found,Length: 12 hrs and 22 mins,Release date: 01-10-23,Language: English,5 out of 5 stars
Shores of Despair,"Zombie Fallout, Book 20",By: Mark Tufo,Narrated by: Sean Runnette,"Series: Zombie Fallout, Book 20",Length: 12 hrs and 22 mins,Release date: 01-10-23,Language: English,5 out of 5 stars
Queen Charlotte,Before the Bridgertons came the love story that changed the ton...,"By: Julia Quinn, Shonda Rhimes",Not Found,Not Found,Length: 12 hrs and 22 mins,Release date: 01-10-23,Language: English,5 out of 5 stars
Trolled,"Legacy of Magic, Book 3",By: Lindsay Buroker,Narrated by: Vivienne Leheny,"Series: Legacy of Magic Series, Book 3, Lindsay Buroker, Book 3",Length: 12 hrs and 22 mins,Release date: 01-10-23,Language: English,5 out of 5 stars
Divorcing a Narcissist,"Break Free from Narcissistic Emotional Abuse & Gaslighting, Co-parenting with Them, Why They Target Empaths & How to Avoid Future Toxic Relationships",By: Alexandra Battersee,Narrated by: Jaqueline Michelle,Not Found,Length: 12 hrs and 22 mins,Release date: 01-10-23,Language: English,5 out of 5 stars
The Hole We're In,Not Found,By: Gabrielle Zevin,Narrated by: Mara Wilson,Not Found,Length: 12 hrs and 22 mins,Release date: 01-10-23,Language: English,5 out of 5 stars
Ghostly Game,"GhostWalkers, Book 19",By: Christine Feehan,Not Found,"Series: A GhostWalker Novel, Book 19",Length: 12 hrs and 22 mins,Release date: 01-10-23,Language: English,5 out of 5 stars
Lent,The Season of Repentance and Renewal,By: Esau McCaulley,Narrated by: Esau McCaulley,Not Found,Length: 12 hrs and 22 mins,Release date: 01-10-23,Language: English,5 out of 5 stars
Way to the West,"Dragon Heart, Book 16",By: Kirill Klevanski,Narrated by: Kevin T. Collins,"Series: Dragon Heart Series, Book 16",Length: 14 hrs,Release date: 02-28-23,Language: English,5 out of 5 stars
Smoke Screen,"Alexander King, Book 6",By: Bradley Wright,Narrated by: Jarret Lemaster,"Series: Alexander King, Book 6",Length: 14 hrs,Release date: 02-28-23,Language: English,5 out of 5 stars
The Wind Thief,"Vanished, Book 4",By: B. B. Griffith,"Narrated by: Ryan McCarthy, Michael Crouch, Kirsten Leigh, Kyla Garcia, Paul Coffey","Series: Vanished Series, Book 4",Length: 14 hrs,Release date: 02-28-23,Language: English,5 out of 5 stars
The Lost Relic,"Lost Starship Series, Book 17",By: Vaughn Heppner,Narrated by: Mark Boyett,"Series: The Lost Starship, Book 17",Length: 14 hrs,Release date: 02-28-23,Language: English,5 out of 5 stars
Forest of Foes,"The Bernicia Chronicles, Book 9",By: Matthew Harffy,Narrated by: Barnaby Edwards,"Series: The Bernicia Chronicles, Book 9",Length: 14 hrs,Release date: 02-28-23,Language: English,5 out of 5 stars
